NAME,B17001_002E,B17001_001E,B03002_003E,B03002_004E,B03002_012E,B25044_003E,B25044_010E,B25044_001E,state,county,tract,poverty_rate,no_vehicle_rate,pct_black,pct_hispanic
Census Tract 40.13; Sacramento County; California,158.0,3911.0,975.0,276.0,1103.0,72.0,31.0,1532.0,06,Sacramento,004013,4.0,6.7,7.1,28.2
Census Tract 40.14; Sacramento County; California,75.0,2327.0,787.0,495.0,531.0,36.0,15.0,1106.0,06,Sacramento,004014,3.2,4.6,21.3,22.8
Census Tract 40.15; Sacramento County; California,387.0,3946.0,1634.0,354.0,743.0,7.0,5.0,1807.0,06,Sacramento,004015,9.8,0.7,9.0,18.8
Census Tract 40.16; Sacramento County; California,294.0,1819.0,989.0,57.0,159.0,50.0,6.0,790.0,06,Sacramento,004016,16.2,7.1,3.1,8.7
Census Tract 40.17; Sacramento County; California,208.0,2585.0,695.0,465.0,402.0,27.0,9.0,1269.0,06,Sacramento,004017,8.0,2.8,18.0,15.6
Census Tract 40.18; Sacramento County; California,139.0,3007.0,698.0,298.0,593.0,8.0,29.0,1186.0,06,Sacramento,004018,4.6,3.1,9.9,19.7
Census Tract 40.19; Sacramento County; California,367.0,3134.0,931.0,546.0,647.0,24.0,40.0,1272.0,06,Sacramento,004019,11.7,5.0,17.4,20.6
Census Tract 40.20; Sacramento County; California,431.0,2416.0,852.0,782.0,202.0,0.0,87.0,1222.0,06,Sacramento,004020,17.8,7.1,32.4,8.4
Census Tract 41; Sacramento County; California,818.0,5390.0,729.0,950.0,1482.0,31.0,81.0,1682.0,06,Sacramento,004100,15.2,6.7,17.6,27.5
Census Tract 42.01; Sacramento County; California,723.0,6072.0,1042.0,1337.0,2437.0,20.0,21.0,1832.0,06,Sacramento,004201,11.9,2.2,22.0,40.1
Census Tract 42.02; Sacramento County; California,1163.0,5791.0,560.0,1300.0,2595.0,49.0,134.0,1796.0,06,Sacramento,004202,20.1,10.2,22.4,44.8
Census Tract 42.03; Sacramento County; California,1460.0,6306.0,833.0,630.0,2561.0,120.0,82.0,1790.0,06,Sacramento,004203,23.2,11.3,10.0,40.6
Census Tract 43.01; Sacramento County; California,870.0,6497.0,891.0,647.0,1950.0,98.0,0.0,1460.0,06,Sacramento,004301,13.4,6.7,10.0,30.0
Census Tract 43.02; Sacramento County; California,1281.0,4616.0,411.0,359.0,1106.0,11.0,120.0,1117.0,06,Sacramento,004302,27.8,11.7,7.8,24.0
Census Tract 44.01; Sacramento County; California,882.0,3846.0,827.0,1091.0,1423.0,18.0,144.0,1464.0,06,Sacramento,004401,22.9,11.1,28.4,37.0
Census Tract 44.02; Sacramento County; California,1469.0,4282.0,557.0,415.0,2288.0,25.0,97.0,1305.0,06,Sacramento,004402,34.3,9.3,9.7,53.4
Census Tract 45.01; Sacramento County; California,1079.0,3709.0,271.0,247.0,1925.0,0.0,158.0,1056.0,06,Sacramento,004501,29.1,15.0,6.7,51.9
Census Tract 45.02; Sacramento County; California,981.0,5068.0,414.0,889.0,2639.0,63.0,152.0,1540.0,06,Sacramento,004502,19.4,14.0,17.5,52.1
Census Tract 46.02; Sacramento County; California,2036.0,5847.0,1427.0,336.0,3017.0,31.0,165.0,1753.0,06,Sacramento,004602,34.8,11.2,5.7,51.6
Census Tract 46.03; Sacramento County; California,892.0,2966.0,591.0,305.0,1164.0,0.0,85.0,985.0,06,Sacramento,004603,30.1,8.6,10.3,39.2
Census Tract 46.04; Sacramento County; California,636.0,4893.0,587.0,1201.0,1839.0,0.0,144.0,1519.0,06,Sacramento,004604,13.0,9.5,24.5,37.6
Census Tract 47.01; Sacramento County; California,1030.0,3879.0,246.0,593.0,1564.0,10.0,143.0,1128.0,06,Sacramento,004701,26.6,13.6,15.3,40.3
Census Tract 47.02; Sacramento County; California,1397.0,4906.0,767.0,634.0,1980.0,21.0,145.0,1504.0,06,Sacramento,004702,28.5,11.0,12.9,40.4
Census Tract 48.01; Sacramento County; California,1417.0,5822.0,712.0,557.0,1491.0,113.0,160.0,1668.0,06,Sacramento,004801,24.3,16.4,9.6,25.6
Census Tract 48.02; Sacramento County; California,1223.0,5271.0,631.0,503.0,1510.0,18.0,148.0,1499.0,06,Sacramento,004802,23.2,11.1,9.5,28.6
Census Tract 49.04; Sacramento County; California,883.0,6245.0,1083.0,1033.0,2674.0,16.0,96.0,1929.0,06,Sacramento,004904,14.1,5.8,16.5,42.8
Census Tract 49.06; Sacramento County; California,777.0,3497.0,401.0,1018.0,1011.0,6.0,17.0,988.0,06,Sacramento,004906,22.2,2.3,29.1,28.9
Census Tract 49.07; Sacramento County; California,732.0,2427.0,352.0,647.0,433.0,0.0,184.0,733.0,06,Sacramento,004907,30.2,25.1,26.7,17.8
Census Tract 49.08; Sacramento County; California,512.0,5020.0,472.0,687.0,2222.0,34.0,65.0,1338.0,06,Sacramento,004908,10.2,7.4,13.7,44.3
Census Tract 49.09; Sacramento County; California,385.0,2553.0,236.0,752.0,833.0,0.0,144.0,830.0,06,Sacramento,004909,15.1,17.3,29.5,32.6
Census Tract 49.10; Sacramento County; California,1148.0,4750.0,319.0,46.0,2101.0,0.0,84.0,1217.0,06,Sacramento,004910,24.2,6.9,1.0,44.2
Census Tract 50.02; Sacramento County; California,1905.0,7045.0,870.0,739.0,3228.0,37.0,304.0,2454.0,06,Sacramento,005002,27.0,13.9,10.5,45.8
Census Tract 50.03; Sacramento County; California,688.0,4374.0,959.0,631.0,1217.0,36.0,22.0,1458.0,06,Sacramento,005003,15.7,4.0,14.4,27.8
Census Tract 50.04; Sacramento County; California,803.0,4611.0,407.0,179.0,2105.0,10.0,75.0,1053.0,06,Sacramento,005004,17.4,8.1,3.9,45.7
Census Tract 51.01; Sacramento County; California,544.0,4929.0,569.0,640.0,1415.0,39.0,29.0,1254.0,06,Sacramento,005101,11.0,5.4,13.0,28.7
Census Tract 51.02; Sacramento County; California,672.0,4511.0,1186.0,687.0,1307.0,44.0,20.0,1521.0,06,Sacramento,005102,14.9,4.2,15.2,29.0
